,mae,mse,rmse,mape,mspe,batchSize,learningRate,eLayers,dLayers,seqLen
60,0.6975733637809753,0.5914987921714783,0.7690895795822144,22.108619689941406,6674.19970703125,16.0,0.0001,2.0,2.0,64.0
61,0.5943697690963745,0.45503854751586914,0.6745654344558716,18.751466751098633,4884.642578125,16.0,0.0001,2.0,2.0,128.0
62,0.9057828187942505,0.9040588736534119,0.9508200883865356,25.3524112701416,8551.291015625,16.0,0.0001,2.0,2.0,512.0
63,0.6638686060905457,0.5721439123153687,0.7564019560813904,17.603673934936523,4501.10986328125,16.0,0.0001,2.0,2.0,1024.0
64,0.8332659006118774,0.8306679129600525,0.911409854888916,26.316650390625,9429.5703125,16.0,0.0001,2.0,4.0,64.0
65,1.1075950860977173,1.3400883674621582,1.1576218605041504,31.11524200439453,12855.185546875,16.0,0.0001,2.0,4.0,128.0
66,1.4038612842559814,2.0679311752319336,1.4380303621292114,38.58306884765625,19685.76953125,16.0,0.0001,2.0,4.0,512.0
67,1.1979855298995972,1.5065858364105225,1.2274305820465088,32.49745178222656,14098.263671875,16.0,0.0001,2.0,4.0,1024.0
68,0.7800060510635376,0.7836034893989563,0.8852137923240662,24.368738174438477,8557.021484375,16.0,0.0001,2.0,6.0,64.0
69,1.1156072616577148,1.410500407218933,1.1876449584960938,32.58611297607422,14131.9365234375,16.0,0.0001,2.0,6.0,128.0
70,1.4346765279769897,2.159414052963257,1.4694944620132446,39.39661407470703,20333.9765625,16.0,0.0001,2.0,6.0,512.0
71,0.7339100241661072,0.6520028114318848,0.8074669241905212,18.644880294799805,4981.095703125,16.0,0.0001,2.0,6.0,1024.0
72,0.9357844591140747,1.0282472372055054,1.0140252113342285,28.60252571105957,10868.9931640625,16.0,0.0001,2.0,8.0,64.0
73,1.1601605415344238,1.516831874847412,1.2315973043441772,34.03321838378906,15632.5556640625,16.0,0.0001,2.0,8.0,128.0
74,1.2916580438613892,1.7672733068466187,1.3293883800506592,36.95497512817383,18092.78515625,16.0,0.0001,2.0,8.0,512.0
75,1.4961899518966675,2.3051517009735107,1.5182726383209229,40.48173141479492,21925.1328125,16.0,0.0001,2.0,8.0,1024.0
76,0.781493604183197,0.7537688612937927,0.8681986331939697,20.53548812866211,5490.623046875,16.0,0.0001,2.0,10.0,64.0
77,1.3761072158813477,2.1371724605560303,1.461907148361206,42.8184814453125,24704.173828125,16.0,0.0001,2.0,10.0,128.0
78,1.309812068939209,1.8346002101898193,1.3544741868972778,37.14918899536133,18174.912109375,16.0,0.0001,2.0,10.0,512.0
79,1.7461997270584106,3.132368326187134,1.7698497772216797,47.0789680480957,29470.927734375,16.0,0.0001,2.0,10.0,1024.0
80,1.0970326662063599,1.3377636671066284,1.156617283821106,27.683029174804688,10077.6796875,16.0,0.0001,4.0,2.0,64.0
81,0.9902128577232361,1.1270575523376465,1.0616296529769897,27.942665100097656,10402.01953125,16.0,0.0001,4.0,2.0,128.0
82,0.7072641253471375,0.6432320475578308,0.8020175099372864,19.55303955078125,5397.294921875,16.0,0.0001,4.0,2.0,512.0
83,0.87984299659729,0.8766111135482788,0.9362751245498657,23.223072052001953,7294.015625,16.0,0.0001,4.0,2.0,1024.0
84,0.6051852703094482,0.5311282873153687,0.728785514831543,14.78006649017334,3157.95947265625,16.0,0.0001,4.0,4.0,64.0
