Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
102,30,1,128,8,3,3,1024,0.1,64,113.40905380620013
103,30,1,128,8,3,3,1024,0.2,32,84.21641522811467
104,30,1,128,8,3,3,1024,0.2,64,153.55081716113432
105,30,1,128,8,3,4,512,0.1,32,75.67774324417866
106,30,1,128,8,3,4,512,0.1,64,113.25083476015395
107,30,1,128,8,3,4,512,0.2,32,65.99813758308325
108,30,1,128,8,3,4,512,0.2,64,105.14510674130042
109,30,1,128,8,3,4,1024,0.1,32,57.36084259005577
110,30,1,128,8,3,4,1024,0.1,64,258.11937908921294
111,30,1,128,8,3,4,1024,0.2,32,153.66222015886012
112,30,1,128,8,3,4,1024,0.2,64,102.74353747914193
113,30,1,128,8,4,3,512,0.1,32,156.03455446913162
