in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
19,19,11,2,3,0.2243717238732022,7,True,256,0.003751467673140614,0.041346728801727295,6.455661356449127,6.918153166770935
24,7,17,2,5,0.2727655599355702,6,False,256,0.004504306294112529,0.04118794575333595,6.447061896324158,6.892760097980499
21,18,8,2,7,0.2971732001266387,7,True,256,0.003156142189404649,0.0418599508702755,6.549180299043655,6.923120468854904
28,12,21,2,3,0.17559080767901342,8,True,256,0.002615737095074533,0.041276708245277405,6.416982412338257,6.865818798542023
18,7,14,2,4,0.22805282660846865,7,False,32,0.004130303690342125,0.041877809911966324,6.649892032146454,7.207263261079788
1,20,10,2,6,0.26310485881472445,8,True,64,0.003480682823261296,0.05893233045935631,8.676033467054367,9.225285798311234
13,9,16,3,5,0.23461277531858055,6,False,128,0.004703153827089349,0.042492568492889404,7.046617567539215,7.693301141262054
9,23,18,1,7,0.2764552950846957,9,False,64,0.0042356137789113695,0.042406752705574036,6.782865524291992,7.156334817409515
29,16,10,3,6,0.11243896578235343,10,True,256,0.0037444018379734142,0.042620956897735596,6.903358548879623,7.250206917524338
24,4,17,2,5,0.25890429505784923,6,False,256,0.004510705539311813,0.04129481688141823,6.507721543312073,6.9967120885849
25,8,12,2,4,0.28091190670580407,6,False,256,0.004590880235473241,0.04211096093058586,6.651519238948822,6.98784738779068
21,14,14,2,6,0.21196956229745023,6,False,256,0.00471128895289773,0.041774265468120575,6.546957790851593,7.018504291772842
26,10,19,2,5,0.28396046590155505,8,False,32,0.0041997552001062895,0.045577481389045715,7.658236473798752,7.71135538816452
23,5,23,2,5,0.2571739286298846,6,False,256,0.003653441753564935,0.041057877242565155,6.389045715332031,6.848352402448654
16,1,23,2,4,0.253944820736492,7,False,256,0.0027010230057018664,0.04671068117022514,8.041833341121674,8.180585503578186
17,3,26,2,6,0.0031438836846111873,6,True,128,0.003097394212614858,0.04727882146835327,8.291712403297424,8.663059026002884
21,21,25,2,3,0.18595517118967803,7,False,32,0.0038494651642044762,0.05005098506808281,7.686132192611694,7.4374668300151825
28,24,9,3,7,0.034780681458819546,8,True,64,0.0036261845086204463,0.04237798601388931,6.781184673309326,7.031425088644028
31,13,21,2,5,0.23253886023767947,6,False,256,0.002943685288763348,0.04174499213695526,6.5389834344387054,7.009708881378174
23,6,16,2,5,0.2999235657181012,6,False,256,0.004812417616095857,0.04118061810731888,6.4796097576618195,7.0061661303043365
22,6,12,2,5,0.29530855746979706,6,False,256,0.004803147303667477,0.041008345782756805,6.428517401218414,6.894350051879883
19,5,12,2,5,0.29165141750010415,6,False,256,0.004098845967877785,0.04118047654628754,6.461309641599655,6.9435931742191315
14,3,11,2,6,0.28618072978315967,6,False,256,0.0041028033873454555,0.04147287830710411,6.483467668294907,6.992504745721817
18,5,9,2,5,0.2631482622401372,6,False,256,0.0036855240103371746,0.041542500257492065,6.45899772644043,6.870125234127045
20,2,12,1,6,0.28766454737880487,6,False,256,0.0032481359727868668,0.04202716425061226,6.615091860294342,6.954974681138992
16,8,32,2,6,0.25217457820692035,6,True,256,0.003998137184800918,0.04127015545964241,6.34419322013855,6.830401718616486
22,9,8,2,5,0.29818493478066566,7,False,32,0.0035677669406334626,0.040138229727745056,6.536822021007538,6.563349068164825
22,10,8,2,7,0.2675734963334908,7,True,32,0.0035445905277606154,0.04107901081442833,6.810671091079712,6.741177290678024
