,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
66,5,2,2,2,True,4,2,0.2781754431516711,0.0015575023998169106,64,0.027076154947280884,0.018260937,3.1906984746456146
67,16,13,7,5,True,4,2,0.2514145183597005,0.0013929798748445426,32,0.028360595926642418,0.01971287,3.479870781302452
68,3,1,1,3,True,4,2,0.2181794588035048,0.0016727971253447406,32,0.028014007955789566,0.019254787,3.40551920235157
69,19,12,8,2,False,4,3,0.25836149145526116,0.0010685637427162778,32,0.02681799605488777,0.018153375,3.192485496401787
70,14,11,4,2,True,5,1,0.29294366092458884,0.001318899963608703,32,0.026492971926927567,0.017686155,3.086663782596588
71,13,11,4,2,True,5,1,0.28925116982255683,0.0012810838313903367,32,0.027362167835235596,0.019114096,3.366674482822418
72,14,11,3,2,True,5,1,0.27835001815405735,0.0014741236563493927,32,0.026218445971608162,0.017241666,3.020188771188259
73,15,11,3,2,True,5,1,0.27649317303309207,0.0016105110589500423,32,0.026384597644209862,0.017445065,3.059905581176281
74,15,11,2,3,True,5,1,0.275203358210593,0.0015762740657336476,32,0.027196791023015976,0.018499786,3.241824731230736
75,18,8,3,2,True,5,1,0.28494349145964903,0.002201278561327036,32,0.030419861897826195,0.021851866,3.7945475429296494
76,16,9,3,3,False,5,1,0.2714866817091898,0.003331726415249426,64,0.02739461325109005,0.018442774,3.203098103404045
77,10,4,3,2,True,5,1,0.2405801178924254,0.0018069577537982021,32,0.02662430703639984,0.017792033,3.095751069486141
78,13,10,4,2,True,5,1,0.2959244295732377,0.0015887031005210489,32,0.02682187221944332,0.018142706,3.173978254199028
79,15,11,2,2,False,4,3,0.26523889639172643,0.0010139618703757084,32,0.026242734864354134,0.017507862,3.0612824484705925
80,12,10,2,8,False,5,3,0.26438413957826207,0.0011465948982012188,32,0.028659244999289513,0.019833598,3.4588444977998734
81,15,11,2,2,False,4,3,0.28203984933184134,0.001050903193471992,32,0.02613667957484722,0.017375102,3.0435092747211456
82,15,11,2,2,False,4,3,0.281114099783666,0.001003572488883456,32,0.026252450421452522,0.017513718,3.061663545668125
83,15,12,1,2,False,4,3,0.27995991008964594,0.001021523747469473,32,0.026686610653996468,0.017585117,3.0590638518333435
