,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
70,25,23,5,3,False,5,3,0.18036142165399813,0.0027277554693801824,256,0.032528333365917206,0.025058258,4.42599356174469
71,5,2,3,2,False,5,4,0.11001821003569581,0.0031757341919326364,256,0.026359567418694496,0.017417163,3.047877922654152
72,5,2,3,2,False,5,4,0.10698130806752781,0.003168984850720995,256,0.02635706029832363,0.01741648,3.0477676540613174
73,5,2,3,2,False,5,4,0.1038387776631863,0.0031607712023785724,256,0.026354379951953888,0.017418513,3.048533573746681
74,2,1,1,2,False,5,4,0.07215228044808486,0.003158718704629271,256,0.026893464848399162,0.01866937,3.292657807469368
75,4,2,3,2,False,5,4,0.07832721758411623,0.00332178023675236,256,0.026392962783575058,0.01742534,3.0476076528429985
76,4,2,3,2,False,5,4,0.05535043525117012,0.0036618840766324727,256,0.02643462084233761,0.017444218,3.0483288690447807
77,3,2,2,3,False,5,4,0.10189090707170044,0.003322964086610847,256,0.029857246205210686,0.02254435,3.9888013154268265
78,5,2,3,2,False,5,4,0.08578665909224055,0.002991629786076198,256,0.026361363008618355,0.017431766,3.0520863831043243
79,5,2,3,2,False,5,4,0.08860102233282524,0.003534645001555861,256,0.026357799768447876,0.017422551,3.048868291079998
80,18,5,6,2,False,5,3,0.08974072141038945,0.0035440773027579377,256,0.027232591062784195,0.019146036,3.361472487449646
81,5,2,3,2,False,5,4,0.1095263543488741,0.0034332393744513903,256,0.02636096067726612,0.017408065,3.045198507606983
82,5,2,3,2,False,5,4,0.10552304460523217,0.0034347146731029507,256,0.026359133422374725,0.017412074,3.0460093170404434
83,5,2,3,2,False,5,4,0.11238209866632105,0.003937035739053699,256,0.026371190324425697,0.017411457,3.044074773788452
84,5,2,3,2,False,5,4,0.09652753359713441,0.003435152253986442,256,0.026358874514698982,0.017415863,3.047282062470913
85,3,2,2,2,False,5,4,0.09909815283303978,0.003739711974958222,256,0.026479072868824005,0.017631205,3.0730146914720535
86,4,2,3,2,False,5,4,0.11268668472803259,0.0034413617265718834,256,0.026378769427537918,0.0174068,3.0428897589445114
