,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
42,11,31,15,2,0.04536736796501275,128,0.0011638834522834233,0.026315169408917427,0.017378483,3.0422361567616463
43,11,32,15,2,0.024779059007204174,128,0.001143833070077752,0.026325494050979614,0.01738019,3.0420206487178802
44,11,33,15,2,0.024644279102170957,128,0.001033677189309818,0.026349252089858055,0.017478758,3.0647896230220795
45,11,33,13,2,0.026608144301214595,128,0.0010115080378456586,0.02670927904546261,0.017985115,3.1641915440559387
46,13,28,15,3,0.03856180275757254,128,0.0015056803189257414,0.026428861543536186,0.017435536,3.042729012668133
47,13,29,11,3,0.037462495344140534,128,0.001535006574607131,0.026405714452266693,0.017511098,3.071117214858532
48,11,25,8,3,0.005899495050556425,128,0.0011278531491996906,0.026375770568847656,0.017461512,3.0598701909184456
49,10,24,8,3,0.001419215889434479,128,0.004884519961863643,0.026373710483312607,0.017430725,3.0524378642439842
50,5,25,9,3,0.021536203451793745,128,0.004693473163170006,0.05851435288786888,0.048602838,8.447516709566116
51,10,25,8,3,0.0023721965855480714,128,0.0011794903739634913,0.02638048678636551,0.017480044,3.0639732256531715
52,10,33,9,3,0.055889348187640873,128,0.004347593015222042,0.027190785855054855,0.01855656,3.2406941056251526
53,9,22,11,3,0.011101369849282956,128,0.0035116473085026086,0.02637350559234619,0.017388038,3.040875121951103
54,9,22,11,3,0.017162232665337396,128,0.003731273564624065,0.026375634595751762,0.01738424,3.039153665304184
55,12,30,13,3,0.04584564434602512,32,0.00461800267403438,0.04644526168704033,0.029492699,5.127051845192909
56,15,33,15,1,0.060416982059009215,128,0.003880292170165732,0.02849026955664158,0.020177715,3.5023748874664307
57,8,21,10,3,0.025900929896542423,128,0.003343867950652419,0.026831451803445816,0.017912453,3.1333670020103455
58,6,19,12,3,0.009890949868116408,64,0.004958230883548655,0.030515866354107857,0.02229777,3.8414571434259415
59,3,38,29,3,0.06839684573500729,128,0.00214546890925364,0.02679566852748394,0.018212583,3.207073360681534
60,9,34,14,2,0.04314896262156043,128,0.004606152202673255,0.026594635099172592,0.017581964,3.074556030333042
61,11,23,11,3,0.01676600320866298,128,0.0036583060101531835,0.026390250772237778,0.017392997,3.0384987592697144
62,12,27,9,3,0.02943014184003334,128,0.003836343082752388,0.027343345806002617,0.01867256,3.248051553964615
63,9,30,11,3,2.2596841055499278e-05,128,0.004262124230784349,0.026438508182764053,0.017602295,3.0829962342977524
64,7,17,13,3,0.009673175909538038,128,0.0031692786905462714,0.02657511457800865,0.017813336,3.1311195343732834
65,9,35,12,3,0.0185418774553514,128,0.00335569968869921,0.02652028575539589,0.017672595,3.1012089923024178
66,5,23,14,2,0.03410351161477898,32,0.003495090910829676,0.03478369861841202,0.026090823,4.571286588907242
67,15,26,16,1,0.04856917544379011,128,0.0028153453333659515,0.02712971903383732,0.01857717,3.263641893863678
68,14,31,17,2,0.014836768111867127,128,0.004422555036973563,0.02698347344994545,0.018035842,3.1407322734594345
69,10,20,15,2,0.06605601855641452,64,0.003947726477039687,0.02659575082361698,0.017837415,3.129066526889801
70,8,23,10,3,0.03311400215686633,128,0.003559791439247389,0.02693326771259308,0.018098176,3.1740352511405945
71,11,27,8,3,0.0050325713472274825,128,0.0011010902135921436,0.026376917958259583,0.017467918,3.0613306909799576
72,12,24,9,3,0.02223535589955269,128,0.0011464855949677834,0.026475416496396065,0.017636351,3.097006306052208
73,11,31,8,3,0.010790035670185633,128,0.0012917839306916794,0.026379259303212166,0.017469732,3.061826527118683
74,7,29,11,3,0.041439597469728175,128,0.0016254055031555276,0.02637430652976036,0.017402237,3.0452966690063477
75,6,35,32,2,0.03963007398323804,128,0.0017681243009527229,0.02756078541278839,0.018835489,3.2768864184617996
76,7,15,12,3,0.09104001270829526,128,0.001664474643982894,0.026392066851258278,0.01746929,3.062264621257782
77,9,28,14,2,0.055881528078364065,128,0.0014042837132231109,0.02643534541130066,0.017464675,3.0588075518608093
78,5,37,11,2,0.02765978545689413,128,0.0015567518061181491,0.026627270504832268,0.017718837,3.1062399968504906
79,8,29,13,1,0.04689238158279015,128,0.0030770142072228655,0.02647078037261963,0.017522745,3.06441280990839
80,3,15,10,3,0.07848045341204843,32,0.0025317557411182966,0.028797876089811325,0.02010981,3.4825894981622696
81,10,26,9,3,0.008308845140218388,128,0.001067441063080047,0.02648710273206234,0.017479159,3.0569687485694885
82,14,32,8,3,0.017702404521968126,128,0.0012367415785193843,0.026379365473985672,0.017467119,3.0613215640187263
83,12,24,11,3,0.03216347237610455,128,0.0011239722556432624,0.026398569345474243,0.017486656,3.0655760318040848
84,11,30,10,3,0.015450100171088384,128,0.0013989265320240953,0.02652338333427906,0.01776615,3.119848668575287
85,13,26,17,2,0.00338581361155745,128,0.004085664193440535,0.026959551498293877,0.01798833,3.135988488793373
86,9,19,15,3,0.02266374450642253,64,0.0012331140606184955,0.026490215212106705,0.017707232,3.11178769916296
87,8,34,13,2,0.03855824478772164,128,0.0013369905740537279,0.026598665863275528,0.01783038,3.1343404203653336
88,16,22,19,3,0.06149830885135721,128,0.0010717911516827275,0.026691459119319916,0.018105805,3.1886503100395203
89,10,28,9,2,0.052433743576626196,128,0.0015850456526118816,0.02663854882121086,0.017856156,3.138958290219307
90,7,32,12,3,0.02769327643330159,128,0.003729385429928072,0.02645270712673664,0.017499499,3.064817376434803
91,11,29,8,3,0.004391381113354641,128,0.0010878654200098612,0.026373164728283882,0.017458152,3.0590221285820007
92,12,29,8,3,0.0002312253491622094,128,0.0014614348374230122,0.026425980031490326,0.0176028,3.089728392660618
93,9,24,10,3,0.011734556252652425,128,0.0010163058202878486,0.02646191604435444,0.017660948,3.098945692181587
94,13,25,14,3,0.022024567344569552,128,0.001180046157166649,0.02643304504454136,0.017523749,3.073124960064888
95,11,30,11,3,0.006832457526282544,128,0.00131256548002909,0.026407746598124504,0.017518707,3.0719738453626633
96,6,27,8,2,0.015136044170572911,128,0.0012259300982401047,0.026550639420747757,0.01775777,3.11876330524683
97,10,34,9,3,0.03235950795499092,32,0.0041274384361883795,0.06136781722307205,0.046889912,8.091896772384644
98,8,21,16,1,0.04636379539744055,128,0.001822157738222218,0.027244918048381805,0.018753063,3.295471891760826
99,9,32,17,2,0.1088947566547228,128,0.004802697139012445,0.02679654024541378,0.017990243,3.1620901077985764
