,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
51,11,7,4,3,False,4,4,0.286782230225266,0.002340545858487386,128,0.04985543712973595,0.034037784,7.445850968360901
52,10,8,3,3,False,4,4,0.29862198384451355,0.0019218945223851084,128,0.04947635903954506,0.034380198,7.5984276831150055
53,12,7,7,2,False,4,4,0.2668793834200806,0.002540523072237781,128,0.04924935847520828,0.03337477,7.35524594783783
54,8,3,4,4,False,4,4,0.2485004683130795,0.0016751835259300788,128,0.04972805827856064,0.034636404,7.740306854248047
55,11,8,5,3,False,4,4,0.23112949445148084,0.002108094931781763,128,0.05171490088105202,0.036073394,7.864035665988922
56,7,4,4,4,True,5,2,0.2999116964092103,0.0034968213803865506,32,0.04858173057436943,0.033025935,7.3508866131305695
57,4,2,2,3,False,2,3,0.10663794025817876,0.001763328377764717,128,0.04900876432657242,0.03325479,7.30762705206871
58,27,17,16,2,False,3,4,0.1398288595555446,0.002865846339813344,128,0.048064157366752625,0.031924114,7.024819403886795
59,27,17,14,2,True,3,5,0.14644436797602017,0.0029124137491135585,64,0.06381205469369888,0.040233027,8.802937716245651
60,25,16,17,2,False,3,3,0.15654087621790705,0.003311829630297496,128,0.04999469220638275,0.03479305,7.748926430940628
61,19,12,10,3,False,3,4,0.12853956608363737,0.002714734746492913,128,0.04850858822464943,0.032499008,7.1868158876895905
62,31,21,21,2,False,4,4,0.13841902343981063,0.00227110265570145,128,0.050460148602724075,0.03494212,7.728284597396851
63,27,19,16,2,False,4,4,0.17026434672696228,0.002569986231399915,128,0.048277273774147034,0.03188112,7.024364173412323
64,29,13,19,3,False,2,5,0.2703412027815201,0.0020071411446949006,128,0.05208728834986687,0.037740394,8.182039856910706
65,24,17,12,2,False,3,4,0.08107208514395035,0.0015586859731003475,32,0.06719721853733063,0.0491624,10.45578047633171
66,13,9,3,3,False,5,4,0.2887185096240804,0.0021911163929517565,256,0.04926815256476402,0.034208484,7.548297941684723
67,21,5,9,5,False,4,4,0.25979618299397395,0.0031327304182832945,128,0.04990990459918976,0.034437217,7.593554258346558
68,14,8,6,8,True,4,5,0.18462206479622406,0.0012672491638524193,128,0.0507202073931694,0.03500952,7.6071783900260925
69,9,6,4,3,False,3,1,0.12606866014557921,0.0027990693031012016,128,0.04993535205721855,0.03347994,7.3822930455207825
70,11,7,3,4,False,5,3,0.01968370809121346,0.002370092399503394,32,0.060000110417604446,0.044600137,9.518193453550339
71,20,11,8,2,False,3,5,0.2846553747015508,0.003167499441115235,64,0.04809214547276497,0.03192172,7.019311189651489
72,17,11,8,2,False,3,5,0.2711062947198543,0.003634133273592015,64,0.04797712340950966,0.032014757,7.120369374752045
73,17,10,9,2,False,3,5,0.2733995534688929,0.003552847933007605,64,0.04864617437124252,0.033042237,7.33887255191803
74,18,13,7,2,False,4,5,0.0017508369883102784,0.001849217051009253,64,0.05347032845020294,0.03690881,7.913537323474884
75,15,9,2,2,False,3,5,0.2927710539203739,0.0043720822331639484,64,0.04822689667344093,0.032408766,7.187437266111374
76,22,15,6,3,False,2,4,0.05633604964594101,0.003755874797722701,128,0.05954582616686821,0.044197645,9.500519186258316
77,16,11,10,3,True,4,4,0.10304420089806811,0.003716599478602996,128,0.04913076385855675,0.032631733,7.091528922319412
78,12,9,5,2,False,3,5,0.22530981984862922,0.0024414370882986387,64,0.04802390933036804,0.031900693,7.028345018625259
79,9,7,5,2,False,3,5,0.21950481303766067,0.002589375961256706,64,0.04829386994242668,0.03249956,7.173129171133041
80,26,14,15,2,False,3,5,0.01096174657259677,0.004801061835374134,64,0.0489388033747673,0.033178825,7.359088212251663
81,13,9,5,2,False,3,5,0.27611731974892084,0.002393523721660488,64,0.04813675209879875,0.03218191,7.119649648666382
82,11,8,4,2,False,3,5,0.26568455223005183,0.002480721734897775,64,0.04884830117225647,0.033106245,7.229287922382355
83,12,10,3,3,False,4,4,0.20382957353414863,0.004179671328682394,256,0.048707302659749985,0.032966018,7.278881222009659
84,10,8,4,6,False,4,5,0.2512849578352918,0.00209075818393451,32,0.04927932098507881,0.03391373,7.450889050960541
85,19,12,7,3,False,3,4,0.23960938240987018,0.0022001185318246807,128,0.04980922117829323,0.034876373,7.729783654212952
86,14,9,2,2,True,4,4,0.2287298501458648,0.001412939498127392,64,0.05039793252944946,0.034607377,7.600682228803635
