,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
43,3,24,8,1,5,0.2984892724466068,9,256,True,0.0038549742772090545,0.028035108000040054,0.019987945,3.5357609391212463
44,1,18,10,1,4,0.2284992251350249,8,256,True,0.002819044462649488,0.027502721175551414,0.019182501,3.387957438826561
45,10,15,14,1,6,0.26249587001752117,8,32,True,0.003397911580308537,0.03193652257323265,0.023072543,3.9742108434438705
46,13,12,17,1,5,0.0022500317111414647,9,256,True,0.003745114955571103,0.026997631415724754,0.018197503,3.1736914068460464
47,3,29,12,1,8,0.2862410685582582,7,256,True,0.0031714911166722767,0.02651267684996128,0.017498462,3.0621474608778954
48,6,30,15,3,8,0.2058879796405143,7,64,True,0.002465906839863834,0.03693977743387222,0.024979135,4.280771687626839
49,2,28,12,1,7,0.2935429273026722,7,32,True,0.004218619894158549,0.026948709040880203,0.018671248,3.225327655673027
50,5,19,9,1,8,0.21961883818347427,10,256,True,0.0034342908498075884,0.02667965739965439,0.01777283,3.0978959053754807
51,3,10,11,1,4,0.28013757968130626,8,256,True,0.0031399481505793836,0.026869280263781548,0.01805337,3.1745463609695435
52,4,28,16,1,6,0.25191199127752817,8,256,True,0.0028813571441058177,0.02677449770271778,0.0178779,3.15077044069767
53,2,16,13,1,5,0.24025379926746898,7,256,True,0.003001101161856785,0.0282577071338892,0.019593604,3.4614741802215576
54,7,13,17,1,7,0.28333459717642384,8,256,True,0.0032471609769252987,0.02633826993405819,0.017412068,3.0523961409926414
55,8,31,17,3,8,0.2813830215431725,8,256,True,0.0036557968216196436,0.02653743326663971,0.017846169,3.1390883028507233
56,8,30,17,3,8,0.2827911055756897,8,256,True,0.0032657673406454916,0.02670915424823761,0.018125229,3.1937476247549057
57,7,31,20,3,7,0.2893833898923989,9,256,True,0.0027558451070109945,0.027249647304415703,0.01881407,3.3206451684236526
58,11,27,15,3,8,0.25800519999995614,8,256,True,0.0034755909255668235,0.02685256488621235,0.017805556,3.1195731833577156
59,6,29,19,3,8,0.28868997795363405,8,256,True,0.0020961840510005957,0.027074314653873444,0.018498527,3.255883976817131
60,1,24,14,3,7,0.24579288168657643,9,64,True,0.0037325778372484866,0.028154456987977028,0.018677719,3.2754596322774887
61,20,13,17,1,8,0.26591175944526835,7,256,False,0.0036266982675419246,0.02681575156748295,0.017780758,3.10024656355381
62,13,31,22,2,7,0.1746404943448586,8,256,True,0.004127060939596897,0.026763763278722763,0.018021608,3.1627949327230453
63,4,9,16,1,8,0.27776403580532677,7,256,False,0.0035222077595034144,0.026410620659589767,0.017553814,3.0698148533701897
64,4,8,12,1,8,0.2987570295606829,7,256,True,0.003883503120304347,0.02674921043217182,0.017683472,3.078695759177208
65,2,20,16,1,8,0.28018785965779863,8,256,False,0.0014526509861101109,0.028921516612172127,0.02111563,3.7339746952056885
66,8,6,19,1,7,0.2564909538821265,7,256,True,0.003270613660160371,0.026759304106235504,0.017990135,3.168201819062233
67,5,5,14,1,8,0.27518223711005585,8,256,False,0.0029430974837879056,0.02677612379193306,0.017957386,3.158138319849968
68,4,17,15,1,8,0.11571821137593617,6,256,True,0.0035144042780449972,0.026500921696424484,0.01770338,3.088819980621338
69,3,17,13,1,6,0.09596517925184672,6,32,False,0.003095046782569762,0.029297921806573868,0.020997327,3.7127353250980377
70,1,22,15,1,7,0.11755576546534863,6,256,True,0.002720643934750745,0.026442158967256546,0.017636994,3.0798066407442093
71,1,22,15,1,7,0.1254140228639209,6,256,True,0.0026532607882246025,0.02645944245159626,0.017645698,3.07964775711298
72,2,22,15,1,7,0.11359538376977957,6,256,True,0.0026400366632328546,0.026479050517082214,0.017660495,3.0820682644844055
73,2,23,15,1,7,0.1236522245049875,6,256,True,0.0023591160716786535,0.026557788252830505,0.017748345,3.091687895357609
74,1,22,15,1,7,0.06889475549053074,6,256,True,0.002620460839863893,0.026455428451299667,0.017656796,3.0845317989587784
75,1,22,14,1,7,0.09433054938142903,6,256,False,0.0026380563695202453,0.02654610201716423,0.017837541,3.124220110476017
76,2,22,16,1,7,0.053738089863235514,6,256,True,0.0025728396843384773,0.02693944051861763,0.018274674,3.210531175136566
77,1,21,16,1,7,0.07447288376042752,6,256,True,0.0027561555905583355,0.026760805398225784,0.017964419,3.149256110191345
78,4,24,18,1,7,0.12907894561675834,6,64,False,0.0022004520971632404,0.027710096910595894,0.018597487,3.2507769763469696
79,2,19,16,1,6,0.15700189025173145,6,256,True,0.0024967367052318654,0.02677244506776333,0.018569218,3.2625097781419754
80,5,23,32,1,6,0.08004897866781087,6,256,False,0.0023848148955157317,0.027265870943665504,0.018573547,3.2869327813386917
81,4,20,15,1,7,0.11766192071566214,6,256,True,0.0026326967854695934,0.026438068598508835,0.017628018,3.0784232541918755
82,3,21,15,1,7,0.14720331976433199,6,256,True,0.0026722757600716246,0.026480846107006073,0.017650494,3.0784573405981064
83,1,19,15,1,7,0.1060028629071153,6,256,True,0.001995955800048772,0.02645835280418396,0.017678263,3.088468872010708
84,1,19,13,1,6,0.10167126378495724,6,256,True,0.002002865053420342,0.02677863836288452,0.01775263,3.1117649748921394
85,6,3,17,1,7,0.13677914494769816,6,256,True,0.0022921564972171737,0.027158277109265327,0.018158466,3.14536951482296
86,3,21,14,1,7,0.03656488611864933,6,256,True,0.001582931056372581,0.026810461655259132,0.017889768,3.114173747599125
87,4,20,30,1,6,0.1050972127952492,6,32,True,0.0029184214416219175,0.04207097366452217,0.026933296,4.635990783572197
88,1,25,16,2,7,0.07988802344671014,6,256,True,0.0017975372593157315,0.027436740696430206,0.018743504,3.3044401556253433
89,7,19,18,1,7,0.12676460335882714,6,256,False,0.0010776018030548206,0.026627328246831894,0.018035669,3.140558674931526
90,5,20,17,1,4,0.08964009653865083,6,256,True,0.0027902174342532915,0.026817478239536285,0.018331265,3.2249461859464645
91,2,22,15,1,7,0.11828723896905426,6,256,True,0.0025956549542673173,0.026483383029699326,0.01766551,3.0825240537524223
92,2,23,14,1,7,0.11165983021393522,6,256,True,0.002517364309576832,0.02645046077668667,0.017573971,3.0698614194989204
93,3,25,14,1,7,0.14074964347172633,6,256,True,0.002471771532504386,0.026491643860936165,0.0175747,3.065377287566662
94,1,23,14,1,7,0.060950325513036155,6,256,True,0.002336770605472377,0.026898322626948357,0.01804044,3.1272966414690018
95,2,21,12,1,6,0.039416859803713664,6,256,True,0.0021149766300999234,0.026580944657325745,0.017882893,3.124329447746277
96,4,23,13,1,7,0.10746844545190481,6,256,True,0.0033610990441197432,0.026387596502900124,0.017726704,3.102988936007023
97,4,23,13,2,7,0.10177639619702089,7,64,True,0.003097150658080069,0.03977813571691513,0.02572066,4.41691055893898
98,4,24,13,1,6,0.08652212771198106,6,256,False,0.0032921938214467337,0.026677144691348076,0.01765883,3.0986707657575607
99,5,17,16,1,6,0.10675499899517729,6,128,True,0.003426634521745348,0.026427632197737694,0.017992247,3.1566161662340164
