in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
8,29,128,2,2,7,256,298,0.2257336144536092,1.680054559659115e-05,True,19.41790050316282,20.46128555821605,21.287935426012
9,19,128,2,4,8,512,112,0.1083993779933621,1.5153851757727313e-05,True,19.452829552788025,19.455161295018403,20.47205558204242
9,21,128,2,4,7,1024,98,0.1866641072596827,1.3921796392337896e-05,True,19.483448001587725,19.49043339759268,20.049133044274917
11,21,128,2,3,4,256,72,0.1979249489505024,1.4278903519982206e-05,False,19.49919769106829,21.55446203505803,22.13020725131763
8,29,128,2,6,4,512,66,0.2889612195901666,2.9379337145755068e-05,False,19.50164240942365,20.466327983703632,20.957644015902286
7,26,128,2,7,4,512,71,0.2569908962113772,3.186021264453247e-05,False,19.50537824867218,37.63585453627372,30.506662055047475
13,18,128,2,4,3,512,141,0.1744542265768739,1.5902191488220958e-05,True,19.52782746103869,19.48458613008465,20.28879455098461
13,16,128,2,4,8,512,140,0.1517389137699717,1.6350209668664877e-05,True,19.535536998649626,19.533458723909742,20.603414049880836
15,20,128,4,3,5,256,94,0.2191997708872856,1.279127517826816e-05,False,19.56848897847632,25.33790827933775,24.500843602043442
30,16,128,4,2,3,512,59,0.1823095684360854,1.8390003773598623e-05,True,19.594540629815675,89.83309494976093,61.14267952496747
15,19,128,8,5,3,1024,152,0.2183721869945602,2.670037856472338e-05,True,19.5948275150939,32.872296274627374,27.519629508618237
8,20,128,4,6,4,512,260,0.2123013034622457,2.621021146570568e-05,False,19.623959549846383,20.511207009339998,22.546229501166806
13,21,128,2,3,4,256,76,0.2011308699693259,1.4061194114012251e-05,False,19.661823351088504,20.92509789315927,21.064206595945784
18,19,128,8,5,2,512,115,0.1846410037049018,2.503726965469275e-05,True,19.669067614863103,88.17674374168118,60.41592754899724
7,27,128,2,7,4,512,46,0.2676146986681473,3.351123090529876e-05,False,19.674786712239037,96.75692234645324,64.46355192070908
22,13,64,4,2,4,256,226,0.241287769359375,4.66507500908952e-05,True,19.68286362930933,20.994259925771267,22.640705158818804
11,21,128,2,4,7,1024,100,0.1875191165862754,1.3662106456743503e-05,True,19.68296114296384,19.66731992334005,20.383051929766786
14,16,128,8,4,8,512,143,0.1508343235318498,1.5912281696266786e-05,True,19.685959649646797,19.667734295459198,20.82699789401038
12,21,128,4,3,5,256,59,0.2340506521972713,1.2362086600620915e-05,False,19.68936640815117,96.42578591519101,64.27260820829238
7,14,64,2,8,7,256,111,0.2957329034977248,3.669913086878485e-05,False,19.6918780420952,20.515748316983334,20.99233945164213
14,20,128,4,3,6,512,108,0.1305296584855805,1.4239086434081938e-05,True,19.71816296735271,19.6847783861774,20.314615841122475
20,21,128,4,2,4,512,177,0.1870455216732423,1.762162052234265e-05,True,19.73248779330276,19.5146151726248,20.317623795196358
13,18,128,2,4,8,512,100,0.1726837487038197,1.5832942556486034e-05,True,19.748890591355824,19.76674202239367,20.721253480509244
12,21,128,4,3,5,256,63,0.23088294767706,1.249443804666084e-05,False,19.76231389593338,97.03438031291253,64.54150740526694
8,20,128,4,2,3,512,141,0.1800028067298815,1.66816433368713e-05,False,19.770435136998778,19.555146346848513,20.08284468294471
18,21,64,4,4,4,256,352,0.2929003441191321,1.3143342980464064e-05,False,19.780149475922062,32.34108826606742,41.426959900737295
8,26,128,2,6,4,512,57,0.2995220818617865,2.943057601255229e-05,False,19.785349808835075,20.461682976311998,21.65511689182501
8,8,128,8,8,8,512,89,0.2885693123192606,3.5526502866322034e-05,False,19.80737051806854,109.96455191013621,70.33474991426917
16,25,64,2,4,4,256,266,0.2835786680466512,1.6164900686999884e-05,False,19.831383638356183,24.145015672515207,26.948148787385755
18,22,64,4,4,4,512,348,0.2755833928553847,1.255102150183765e-05,False,19.897232586222017,25.04439737602202,30.570518941048142
20,22,64,2,4,4,256,249,0.1262065737619068,1.484321872619813e-05,False,19.914807834109787,28.242167581866607,26.38848598818539
17,25,64,2,4,5,256,219,0.250187431263005,1.659630373670651e-05,False,19.91925771694705,20.7248784085655,21.051098239725157
18,22,64,4,4,4,512,348,0.2758021516483854,1.2602792164041e-05,False,19.92549946188217,25.00618698024403,30.502672823698695
7,26,128,2,6,3,512,75,0.2892693362037458,2.631689578312376e-05,False,20.00629693642485,20.151369008876603,19.956271415549857
18,19,128,8,5,2,512,118,0.1772299193706266,2.703692683412399e-05,True,20.006788928041267,25.83703863040473,23.155757153536825
8,26,128,2,6,4,512,63,0.2852977242180478,2.653596992867092e-05,False,20.10192037972151,20.15091305127623,21.171071942589503
16,17,64,2,4,6,256,63,0.1802909255905284,4.9692835141599455e-05,False,20.104438137862427,91.71420848895193,62.18465271831385
18,19,128,8,5,2,512,109,0.1751611960557192,2.6190617644099157e-05,True,20.116076044321908,27.44038108543404,24.084692064637103
8,26,128,2,6,4,512,61,0.2850617150086086,2.974103936451396e-05,False,20.153803671245285,20.02348504166754,21.163813587204984
7,27,128,2,6,3,512,77,0.2783959780509194,2.6499206281568424e-05,False,20.23856958552189,20.131213587376273,21.424852202273954
16,21,128,8,7,3,1024,149,0.2199247427876579,2.6597940532208864e-05,True,20.34540252960476,51.86444591890863,39.517752454343025
13,24,64,4,5,8,512,90,0.2278073173415752,2.836028252369146e-05,False,20.4484337453731,31.64643421475177,33.99927951929775
17,18,128,4,6,6,512,27,0.0254006709788705,1.6695191359679796e-05,False,20.52618125621238,82.785720894086,57.72437522802266
12,14,64,4,5,6,1024,295,0.1933771619820814,4.932589636905571e-05,False,20.631625279402392,20.0003106916448,21.151175145294314
19,23,32,2,3,2,1024,149,0.0754111286561653,1.9289581883103764e-05,False,20.64059324144851,37.75384765154907,135.0027582761524
21,19,128,8,6,2,1024,181,0.2016286961887871,2.8976141924993488e-05,True,20.643174795547772,21.44728602773379,20.551529486372758
12,30,64,8,5,5,512,186,0.2630360162006589,3.431569772924619e-05,True,20.77388873643391,46.828191628006614,37.05658469299212
8,14,128,2,8,6,256,201,0.2938697526569466,3.4735197099827506e-05,False,20.85917574074728,20.34596450552446,21.218950525031243
16,22,64,4,6,8,512,29,0.0548941376442396,1.603419647200861e-05,False,20.970009485346573,65.29272883188534,47.82328681558427
7,16,64,2,6,7,256,92,0.2966951179820175,2.9936582305288284e-05,False,21.00419687260452,22.91539272519561,21.205910098797244
12,25,128,4,5,4,256,240,0.036848280457022,2.6348186651414396e-05,False,21.41976021136333,31.732818665902503,26.402504265057512
