in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
16,22,64,4,6,8,512,29,0.0548941376442396,1.603419647200861e-05,False,20.970009485346573,78.68478651642764,55.57653663371852
7,16,64,2,6,7,256,92,0.2966951179820175,2.9936582305288284e-05,False,21.00419687260452,19.950226783038097,21.38789548542887
12,25,128,4,5,4,256,240,0.036848280457022,2.6348186651414396e-05,False,21.41976021136333,42.796395418873566,33.67589084628826
10,22,32,2,2,2,1024,133,0.0949724164185621,2.1332390854545637e-05,False,21.6983497943538,21.883187352778886,25.808014721515644
30,25,128,4,6,7,512,80,0.0570863432287645,1.4647808158423909e-05,True,21.955200230582346,79.08062212347065,55.82848122775545
13,25,128,4,2,4,1024,226,0.0482949286597145,2.5190223594991505e-05,True,21.9679084548401,23.39259749722923,22.8012063865884
13,18,64,8,8,8,256,173,0.1563603164543481,1.945868876473173e-05,True,22.260235596060152,21.62604558086862,20.136844959033258
19,18,32,8,2,4,512,105,0.10270655006954,1.2283873862379616e-05,True,22.3114814236973,34.73658923443812,54.635657444294615
19,23,32,2,3,2,1024,152,0.065672275516801,2.1584048433259653e-05,False,22.41438140519841,23.177965515226646,28.0754707544327
13,25,32,4,3,2,512,195,0.0969576413133687,2.005215015436972e-05,False,22.42029230879274,29.858487322267223,38.695121002689206
18,25,32,2,3,2,1024,159,0.0994471998836019,1.8518367844109147e-05,False,22.50580821760889,40.03203790932011,1619.1675129859846
10,14,64,8,6,7,256,114,0.2042949298928143,3.792626395649293e-05,False,22.70222171392356,21.642943744675033,21.488904409748834
18,25,32,2,3,2,1024,157,0.1014893160432502,1.892739459029137e-05,False,22.84175439583067,36.0166974780472,66.9285393847414
16,23,64,4,6,8,512,30,0.0712912573732537,1.6287759855532308e-05,False,22.873567847126303,59.67676531596622,44.71060489882716
19,19,32,4,5,7,512,87,0.023746717891119,2.0145206578326196e-05,False,22.962150436686564,66.56167404667931,48.6586053618546
15,24,32,2,2,5,1024,162,0.056364918721996,3.068743682758564e-05,False,23.031940306746197,28.077423237713838,38.2163334593551
15,7,128,2,7,5,256,250,0.2567323984172828,2.2528144055117568e-05,True,23.789248278018192,51.64893075727049,39.44287915374481
20,17,32,8,7,7,512,99,0.0577330861617848,1.2951893669477552e-05,True,24.039360923379,27.83748339336796,35.704515413780015
29,18,64,4,8,7,512,320,0.2144017221328459,1.290759866485972e-05,False,24.22864631348108,24.233643167587037,23.865984069235356
17,16,128,4,6,6,512,11,0.000171084371518,1.6501297945490782e-05,False,24.350739487077963,67.7205610625596,49.49351374588723
29,18,64,4,8,7,512,330,0.1584882046771004,1.609951035619047e-05,False,24.76558831132538,23.027030351522264,24.452881735994218
28,26,128,4,3,8,256,258,0.2706537166978398,1.5711233738940694e-05,False,24.78074188875304,21.519876118999328,22.125677329714744
26,17,32,8,8,8,512,205,0.132165258241233,1.689704069062039e-05,True,25.25060032636025,77.08433821221922,163.56302822366408
28,18,64,4,8,7,512,325,0.1949828609120303,1.333771583899136e-05,False,25.330105746347236,25.650353902151256,32.1271325231437
29,18,64,4,8,7,512,323,0.2149010098362727,1.3229785426897142e-05,False,25.458899022985044,25.677003996783355,24.70712211115731
27,16,32,8,8,7,512,256,0.1749368696338975,1.7901675613190146e-05,True,25.89468151476644,47.81383189854241,93.66218162989274
19,20,32,8,8,8,512,154,0.103789629310721,1.1510558480677963e-05,True,26.38297974062609,82.93567443816322,171.51036992990265
25,28,32,4,4,8,1024,32,0.1928245452120254,2.4808200076598288e-05,True,32.4567458574877,35.196905232944914,29.420303871558833
